:START_ID,:END_ID
1101,110101
1101,110102
1101,110105
1101,110106
1101,110107
1101,110108
1101,110109
1101,110111
1101,110112
1101,110113
1101,110114
1101,110115
1101,110116
1101,110117
1101,110118
1101,110119
1201,120101
1201,120102
1201,120103
1201,120104
1201,120105
1201,120106
1201,120110
1201,120111
1201,120112
1201,120113
1201,120114
1201,120115
1201,120116
1201,120117
1201,120118
1201,120119
1301,130101
1301,130102
1301,130104
1301,130105
1301,130107
1301,130108
1301,130109
1301,130110
1301,130111
1301,130121
1301,130123
1301,130125
1301,130126
1301,130127
1301,130128
1301,130129
1301,130130
1301,130131
1301,130132
1301,130133
1301,130183
1301,130184
1302,130201
1302,130202
1302,130203
1302,130204
1302,130205
1302,130207
1302,130208
1302,130209
1302,130223
1302,130224
1302,130225
1302,130227
1302,130229
1302,130281
1302,130283
1303,130301
1303,130302
1303,130303
1303,130304
1303,130306
1303,130321
1303,130322
1303,130324
1304,130401
1304,130402
1304,130403
1304,130404
1304,130406
1304,130421
1304,130423
1304,130424
1304,130425
1304,130426
1304,130427
1304,130428
1304,130429
1304,130430
1304,130431
1304,130432
1304,130433
1304,130434
1304,130435
1304,130481
1305,130501
1305,130502
1305,130503
1305,130521
1305,130522
1305,130523
1305,130524
1305,130525
1305,130526
1305,130527
1305,130528
1305,130529
1305,130530
1305,130531
1305,130532
1305,130533
1305,130534
1305,130535
1305,130581
1305,130582
1306,130601
1306,130602
1306,130606
1306,130607
1306,130608
1306,130609
1306,130623
1306,130624
1306,130626
1306,130627
1306,130628
1306,130629
1306,130630
1306,130631
1306,130632
1306,130633
1306,130634
1306,130635
1306,130636
1306,130637
1306,130638
1306,130681
1306,130683
1306,130684
1307,130701
1307,130702
1307,130703
1307,130705
1307,130706
1307,130708
1307,130709
1307,130722
1307,130723
1307,130724
1307,130725
1307,130726
1307,130727
1307,130728
1307,130730
1307,130731
1307,130732
1308,130801
1308,130802
1308,130803
1308,130804
1308,130821
1308,130822
1308,130823
1308,130824
1308,130825
1308,130826
1308,130827
1308,130828
1309,130901
1309,130902
1309,130903
1309,130921
1309,130922
1309,130923
1309,130924
1309,130925
1309,130926
1309,130927
1309,130928
1309,130929
1309,130930
1309,130981
1309,130982
1309,130983
1309,130984
1310,131001
1310,131002
1310,131003
1310,131022
1310,131023
1310,131024
1310,131025
1310,131026
1310,131028
1310,131081
1310,131082
1311,131101
1311,131102
1311,131103
1311,131121
1311,131122
1311,131123
1311,131124
1311,131125
1311,131126
1311,131127
1311,131128
1311,131182
1401,140101
1401,140105
1401,140106
1401,140107
1401,140108
1401,140109
1401,140110
1401,140121
1401,140122
1401,140123
1401,140181
1402,140201
1402,140202
1402,140203
1402,140211
1402,140212
1402,140221
1402,140222
1402,140223
1402,140224
1402,140225
1402,140226
1402,140227
1403,140301
1403,140302
1403,140303
1403,140311
1403,140321
1403,140322
1404,140401
1404,140402
1404,140411
1404,140421
1404,140423
1404,140424
1404,140425
1404,140426
1404,140427
1404,140428
1404,140429
1404,140430
1404,140431
1404,140481
1405,140501
1405,140502
1405,140521
1405,140522
1405,140524
1405,140525
1405,140581
1406,140601
1406,140602
1406,140603
1406,140621
1406,140622
1406,140623
1406,140624
1407,140701
1407,140702
1407,140721
1407,140722
1407,140723
1407,140724
1407,140725
1407,140726
1407,140727
1407,140728
1407,140729
1407,140781
1408,140801
1408,140802
1408,140821
1408,140822
1408,140823
1408,140824
1408,140825
1408,140826
1408,140827
1408,140828
1408,140829
1408,140830
1408,140881
1408,140882
1409,140901
1409,140902
1409,140921
1409,140922
1409,140923
1409,140924
1409,140925
1409,140926
1409,140927
1409,140928
1409,140929
1409,140930
1409,140931
1409,140932
1409,140981
1410,141001
1410,141002
1410,141021
1410,141022
1410,141023
1410,141024
1410,141025
1410,141026
1410,141027
1410,141028
1410,141029
1410,141030
1410,141031
1410,141032
1410,141033
1410,141034
1410,141081
1410,141082
1411,141101
1411,141102
1411,141121
1411,141122
1411,141123
1411,141124
1411,141125
1411,141126
1411,141127
1411,141128
1411,141129
1411,141130
1411,141181
1411,141182
1501,150101
1501,150102
1501,150103
1501,150104
1501,150105
1501,150121
1501,150122
1501,150123
